date	hour	DST		       
1996-10-23	05:00:00	-105		       
1997-04-21	24:00:00	-107		       
1997-05-15	13:00:00	-115		       
1997-10-10	04:00:00	-130		       
1997-11-07	05:00:00	-110		       
1997-11-23	07:00:00	-108	    
1998-02-18	01:00:00	-100		       
1998-03-10	21:00:00	-116		       
1998-05-04	05:00:00	-205		       
1998-06-26	05:00:00	-119		       
1998-05-06	05:00:00	-101		       
1998-08-06	10:00:00	-138		       
1998-08-07	06:00:00	-108		       
1998-08-27	00:00:00	-155		       
1998-10-19	03:00:00	-202		       
1998-10-26	16:00:00	-112	       
1998-11-08	04:00:00	-140		       
1998-11-09	06:00:00	-142		       
1999-01-13	23:00:00	-112		       
1999-02-18	08:00:00	-123		       
1999-09-22	22:00:00	-173		       
1999-10-22	02:00:00	-237		       
1999-11-13	23:00:00	-106		       
2000-02-12	12:00:00	-135		       
2000-04-07	01:00:00	-292		       
2000-04-08	04:00:00	-147		       
2000-06-15	21-24:00	-280		       
2000-06-16	01:00:00	-300		       
2000-08-11	07:00:00	-105		       
2000-08-12	05:00:00	-234		       
2000-09-17	00:00:00	-201		       
2000-10-04	17:00:00	-143		       
2000-10-05	01:00:00	-181		       
2000-10-14	15:00:00	-106		       
2000-10-29	09:00:00	-118		       
2000-11-06	18:00:00	-159		       
2000-11-07	01:00:00	-151		       
2000-11-29	14:00:00	-119		       
2001-03-20	06:00:00	-149		       
2001-03-31	06:00:00	-387		       
2001-04-11	19:00:00	-271		       
2001-04-18	07:00:00	-114		       
2001-06-17	22:00:00	-105		       
2001-09-26	02:00:00	-102		       
2001-10-01	05:00:00	-148		       
2001-10-03	10:00:00	-166		       
2001-10-21	20:00:00	-187		       
2001-10-28	07:00:00	-157		       
2001-11-01	11:00:00	-106		       
2001-11-06	03:00:00	-288		       
2001-11-24	12:00:00	-221		       
2002-03-24	10:00:00	-100		       
2002-04-18	05:00:00	-127		       
2002-04-19	17:00:00	-124		       
2002-04-20	05:00:00	-149		       
2002-05-11	20:00:00	-110		       
2002-05-23	18:00:00	-109		       
2002-08-02	06:00:00	-102		       
2002-08-21	07:00:00	-106		       
2002-09-04	06:00:00	-109	       
2002-09-08	00:00:00	-181	       
2002-10-01	12:00:00	-176		       
2002-10-02	08:00:00	-160		       
2002-10-04	00:00:00	-146		       
2002-10-07	08:00:00	-115		       
2002-11-21	08:00:00	-128		       
2003-03-29	23:00:00	-144		       
2003-06-18	08:00:00	-141		       
2003-07-12	05:00:00	-105		       
2003-08-18	08:00:00	-148		       
2003-10-29	08:00:00	-350		       
2003-10-30	01:00:00	-383		       
2003-11-20	14:00:00	-422		       
2004-01-22	13:00:00	-130		       
2004-04-04	01:00:00	-117		       
2004-07-25	04:00:00	-136		       
2004-07-27	03:00:00	-170	      
2004-08-30	20:00:00	-129		       
2004-11-08	00:00:00	-374		       
2004-11-10	00:00:00	-263	      
2005-01-18	09:00:00	-103		       
2005-05-08	19:00:00	-110		       
2005-05-15	08:00:00	-247		       
2005-05-30	14:00:00	-113		       
2005-06-13	01:00:00	-106		       
2005-08-24	11:00:00	-184		       
2005-08-31	19:00:00	-119		       
2005-09-11	08:00:00	-139		       
2006-12-15	01:00:00	-162		       
2011-08-06	04:00:00	-115		       
2011-09-26	24:00:00	-118		       
2011-10-25	00:00:00	-147		       
2012-03-09	08:00.00	-145		       
2012-04-24	00:00:00	-120		       
2012-07-15	10:00:00	-139		       
2012-10-01	03:00:00	-122		       
2013-03-17	20:00:00	-132		       
2013-06-01	05:00:00	-124		       
2013-06-29	07:00:00	-102		       
2014-02-19	09:00:00	-119		       
2015-03-17	16:00:00	-222	
2015-06-23	00:00:00	-204		       
2015-10-07	20:00:00	-124		       
2015-12-20	19:00:00	-155		       
2016-01-01	01:00:00	-110		       
2016-10-13	24:00:00	-104		       
2017-05-28 06:00:00    -125    
2017-09-08	01:00:00	-124	       
2018-09-26	04:00:00	-174	       
