code	latgeo	longeo	latmag	lonmag	UTC
TEO	19.747 N	99.182 W	28.63 N		29.56 W    -6:00
SJG	18.110 N	66.150 W	28.19 N	 	 6.10 E    -4:00
GUI	28.317 N	16.433 W	33.21 N		61.10 E 	0:00
TAM	22.783 N	 5.571 E	24.30 N		82.29 E		1:00
JAI	26.917 N 	75.800 E 	18.42 N	   150.47 E		5:30
LZH	36.083 N   103.833 E 	26.23 N	   176.79 E 	8:00
BMT	40.300 N   116.200 E	30.53 N	   172.00 W 	8:00
CYG	36.370 N   126.854 E	27.00 N	   162.43 W		9:00
KNY	31.417 N   130.867 W 	22.30 N	   158.40 W 	9:00
KAK	36.232 N   140.186 E	27.80 N    149.73 W 	9:00
HON	21.317 N   158.000 W 	21.49 N		90.03 W   -10:00
