event	ddyn_lfc	ddyn_hfc	ddyn_lfcpick	ddyn_hfcpick	ddyn_h1	dp2_lfc
1	9999	9999	9999	9999	9999	6.90E-05
2	9999	9999	9999	9999	9999	6.90E-05
3	9999	9999	9999	9999	9999	9.25E-05
4	9999	9999	9999	9999	9999	6.90E-05
5	9999	9999	9999	9999	9999	9.30E-05
6	9999	9999	9999	9999	9999	6.90E-05
7	9999	9999	9999	9999	9999	6.90E-05
8	9999	9999	9999	9999	9999	6.90E-05
9	9999	9999	9999	9999	9999	6.90E-05
10	9999	9999	9999	9999	9999	6.90E-05
11	9999	9999	9999	9999	9999	6.90E-05
12	9999	9999	9999	9999	9999	7.30E-05
13	9999	9999	9999	9999	9999	6.90E-05
14	9999	9999	9999	9999	9999	6.90E-05
15	9999	9999	9999	9999	9999	6.90E-05
16	9999	9999	9999	9999	9999	6.90E-05
17	9999	9999	9999	9999	9999	6.90E-05
18	9999	9999	9999	9999	9999	6.90E-05
19	9999	9999	9999	9999	9999	6.90E-05
20	9999	9999	9999	9999	9999	9.25E-05
21	9999	9999	9999	9999	9999	0.000081112629
22	9999	9999	9999	9999	9999	0.000098254002
23	9999	9999	9999	9999	9999	0.000095262271
24	9999	9999	9999	9999	9999	6.90E-05
25	9999	9999	9999	9999	9999	6.90E-05
26	9999	9999	9999	9999	9999	6.90E-05
27	9999	9999	9999	9999	9999	6.90E-05
28	9999	9999	9999	9999	9999	6.90E-05
29	9999	9999	9999	9999	9999	6.90E-05
30	6.25E-04	9.09E-04	9999	9999	9999	6.90E-05
31	9999	9999	9999	9999	9999	6.90E-05
