event,ddyn_lfc,ddyn_hfc,ddyn_lfcpick,ddyn_hfcpick,ddyn_h1,dp2_lfc,dp2_hfc
1,0.0000107,0.000018,9999,9999,9999,0.000069,0.00055
2,0.00001,0.0000162,9999,9999,9999,0.000069,0.00055
3,0.0000115,0.000023,9999,9999,9999,0.0000925,0.00055
4,0.0000105,0.000022,9999,9999,9999,0.000069,0.00055
5,0.00001,0.000018,9999,9999,9999,0.000093,0.00055
6,0.000606,0.00087,0.000769,0.000667,0.00143,0.000069,0.00055
7,0.00001,0.00003,9999,9999,9999,0.000069,0.00055
8,0.00001,0.000026,9999,9999,9999,0.000069,0.00055
9,0.0000095,0.000022,9999,9999,9999,0.000069,0.00055
10,0.00001,0.000017,9999,9999,9999,0.000069,0.00055
11,0.0000105,0.000016,9999,9999,9999,0.000069,0.00055
12,0.0000098,0.000023,9999,9999,9999,0.000073,0.00055
13,0.000625,0.000909,0.000714,0.00087,0.00147,0.000069,0.00055
14,0.0000095,0.00002,9999,9999,9999,0.000069,0.00055
15,0.000009,0.000023,9999,9999,9999,0.000069,0.00055
16,0.0000089,0.000026,9999,9999,9999,0.000069,0.00055
17,0.000012,0.000018,9999,9999,9999,0.000069,0.00055
18,0.0000095,0.000026,9999,9999,9999,0.000069,0.00055
19,0.0000089,0.000023,9999,9999,9999,0.000069,0.00055
20,0.0000089,0.000024,9999,9999,9999,0.0000925,0.00055
21,0.0000086,0.000025261966,9999,9999,9999,0.000081112629,0.00055
22,0.0000081,0.000021196104,9999,9999,9999,0.000098254002,0.00055
23,0.0000073,0.000020048564,9999,9999,9999,0.000095262271,0.00055
24,9999,9999,9999,9999,9999,9999,0.00055
25,9999,9999,9999,9999,9999,9999,0.00055
26,9999,9999,9999,9999,9999,9999,0.00055
27,9999,9999,9999,9999,9999,9999,0.00055
28,9999,9999,9999,9999,9999,9999,0.00055
29,9999,9999,9999,9999,9999,9999,0.00055
30,9999,9999,9999,9999,9999,9999,0.00055
31,9999,9999,9999,9999,9999,9999,0.00055
